season,week,xi
1,1,7.928228386300251e-19
1,2,0.0001317971451834577
1,3,1.1224880617013988e-17
1,4,0.0002442840506823532
1,5,2.6776405528602942e-17
1,6,2.017971293538645e-17
2,1,5.441920489280004e-06
2,2,5.441920489287017e-06
2,3,8.816662088337589e-05
2,4,5.441920489285856e-06
2,5,4.866370127531729e-19
2,6,5.441920489278168e-06
2,7,1.613959505751259e-06
2,8,5.44192048927973e-06
3,1,1.7804260013759008e-17
3,2,3.107645215178974e-05
3,3,2.7477638117980444e-05
3,4,4.4202643966295024e-05
3,5,0.00013246016537491956
3,6,7.088885740724884e-18
3,7,2.30041394549838e-17
3,8,9.086349604230205e-06
3,9,1.213577227345063e-18
3,10,0.0
4,1,3.3198123013242315e-06
4,2,4.735714349353028e-05
4,3,4.059232384028635e-05
4,4,5.924447431966391e-06
4,5,3.3198123012983504e-06
4,6,0.0001607444264237209
4,7,0.00010316382916864766
4,8,3.3198123013124103e-06
4,9,4.400097524762474e-07
4,10,4.400097524088344e-07
5,1,7.192021782986517e-06
5,2,8.279789481987972e-05
5,3,3.0059332176740563e-05
5,4,8.843071505995758e-19
5,5,7.192021783005619e-06
5,6,8.675841974609208e-05
5,7,4.694074483395658e-05
5,8,2.338358240593741e-05
5,9,7.192021783065535e-06
5,10,7.1920217830586035e-06
6,1,3.1632394166746593e-18
6,2,2.3874194681784937e-05
6,3,1.84909570768644e-05
6,4,4.176965102729218e-18
6,5,3.370087064278285e-06
6,6,6.411831506388396e-18
6,7,2.993679509128481e-06
6,8,3.24633656915714e-05
6,9,6.951420471844177e-18
6,10,1.3752094759211824e-18
7,1,1.785202563693033e-05
7,2,1.590972025218679e-05
7,3,1.860352771926399e-06
7,4,4.001978563674568e-06
7,5,4.7473954024724035e-06
7,6,1.859347589856124e-06
7,7,3.738562619448492e-05
7,8,4.985051092145655e-06
7,9,2.132867756685819e-06
7,10,1.859457517832641e-06
8,1,6.020710189083567e-18
8,2,3.5015069208027834e-05
8,3,4.348928952468759e-05
8,4,3.4728350837426314e-19
8,5,6.649493057800944e-05
8,6,0.0
8,7,0.0
8,8,0.0
8,9,7.151497593062777e-05
8,10,8.639736061993863e-20
8,11,0.0
9,1,1.571505053566323e-06
9,2,9.653481397699099e-07
9,3,3.385498941616077e-05
