season,week,xi
9,4,1.8911135013418762e-05
9,5,5.106904808618141e-06
9,6,1.1684020595991376e-05
9,7,1.6067874855125352e-06
9,8,5.834741157868013e-06
9,9,1.5715027594947431e-06
9,10,1.5715050535764128e-06
10,1,1.9655773346802344e-07
10,2,0.00020507852503664302
10,3,1.6808876089516616e-05
10,4,1.1194247135313888e-05
10,5,1.9664139797611778e-07
10,6,3.5827862229619203e-06
10,7,1.6646277052544395e-05
10,8,1.6752472951265651e-06
10,9,1.9664139797505184e-07
10,10,1.9655773347840052e-07
11,1,7.563149664806183e-07
11,2,7.563149664828019e-07
11,3,7.563149664680299e-07
11,4,7.563149664774329e-07
11,5,6.768500639768032e-07
11,6,0.00016532244415720277
11,7,1.5141833872166927e-06
11,8,4.652112402444957e-06
11,9,7.563149664744666e-07
11,10,7.563149664669307e-07
12,1,1.4301010404532158e-05
12,2,2.070163407436787e-06
12,3,1.4301010404529435e-05
12,4,6.21273504246791e-05
12,5,8.884341347111811e-06
12,6,1.4301010717606455e-05
12,7,4.22029189131028e-05
12,8,6.779468091695049e-05
12,9,1.4301010717593641e-05
12,10,1.4301010717594115e-05
13,1,5.037319750183359e-06
13,2,0.00012060433614502796
13,3,9.999140232971399e-05
13,4,6.3619282787287705e-06
13,5,5.067247683363263e-06
13,6,1.7864630186358677e-05
13,7,2.8851284708530872e-05
13,8,2.368761066441287e-06
13,9,2.3686227163938897e-06
13,10,2.3686227163822375e-06
14,1,2.7825828164798435e-06
14,2,2.7825828165211385e-06
14,3,7.343693843273753e-06
14,4,7.1381756748400705e-06
14,5,2.7821621801702645e-06
14,6,1.8093381738629086e-18
14,7,3.992953623718184e-05
14,8,3.998226993246157e-05
14,9,2.782582816508699e-06
14,10,2.7825828164860933e-06
15,1,3.145320553033268e-06
15,2,5.8315345262963964e-05
15,3,3.6911178492652576e-06
15,4,3.6204191929111135e-05
15,5,4.915899056290021e-07
15,6,0.0001411725829205686
15,7,4.915899056376105e-07
15,8,3.8825240849251115e-05
15,9,4.915896997298804e-07
15,10,4.9158990414752e-07
16,1,3.624525218504804e-06
16,2,3.3800627730019355e-06
16,3,2.503595754265652e-06
16,4,8.918797684096453e-06
16,5,1.2078734194737735e-05
16,6,7.720946831433023e-06
16,7,2.5035957584601004e-06
16,8,3.380062768415854e-06
16,9,2.5035957542654594e-06
16,10,1.7670446168077872e-06
17,1,1.285963020833712e-06
17,2,9.008825423156103e-06
17,3,3.3432484978746607e-06
17,4,3.2412476550613423e-06
17,5,9.626310104286105e-05
17,6,1.2859630208401884e-06
17,7,4.802663251333896e-06
17,8,2.5418705401592715e-05
17,9,3.5216524331531014e-06
17,10,1.2859630208341093e-06
17,11,1.285963020834559e-06
18,1,1.4710798931458095e-06
18,2,3.649900167001208e-05
18,3,1.471079893140435e-06
18,4,1.4710798931327193e-06
18,5,5.804582440971004e-05
18,6,2.7842431768455725e-05
18,7,1.2237631320522159e-05
18,8,1.4710798931342172e-06
18,9,3.1544863760498307e-06
18,10,6.128439045513956e-06
19,1,2.562718980227783e-05
19,2,5.870743934422894e-06
19,3,8.09758132434305e-18
19,4,9.927911471698507e-05
19,5,8.36073432414911e-18
19,6,8.11217369880974e-05
19,7,3.80839592258858e-05
19,8,7.234935562721497e-18
19,9,7.719450671696021e-05
19,10,3.4075026625855493e-06
19,11,3.407502662525842e-06
20,1,4.861742687512285e-06
20,2,0.00013137170327431343
20,3,2.3292319245267036e-05
20,4,3.345272320911442e-05
20,5,2.1427447639650353e-05
20,6,2.3432296619269452e-05
20,7,0.00028901474423071285
20,8,4.390982494516233e-06
20,9,4.861742687570151e-06
20,10,4.861742687417167e-06
21,1,1.1096854141268283e-06
21,2,5.8050967610766015e-06
21,3,1.1096854145473527e-06
21,4,1.1096854141928217e-06
21,5,1.10968541416452e-06
21,6,1.1096854144570808e-06
21,7,1.542039153002098e-05
21,8,1.6707384730233329e-06
21,9,0.00010290471737237964
21,10,1.1096854144912041e-06
21,11,4.082879220091959e-06
22,1,1.2592838826829683e-17
22,2,3.7951311201728927e-17
22,3,1.1910130271342717e-17
22,4,2.6024604050473832e-05
22,5,1.4610471307189427e-17
22,6,4.072534410398676e-18
22,7,2.5298239758228293e-05
22,8,0.0002677321606181525
22,9,4.9116899512435114e-17
22,10,2.996040237733186e-17
23,1,8.371345623852045e-06
23,2,3.260517965346066e-05
23,3,4.162830787086936e-05
23,4,3.3017869035050274e-05
23,5,8.371345623847862e-06
23,6,8.37134562384402e-06
23,7,1.087593984831155e-05
23,8,6.456603239575038e-05
23,9,1.8913318218495408e-05
23,10,8.37134562385664e-06
23,11,8.37134562384777e-06
24,1,3.803367997435772e-09
24,2,4.43598151691387e-05
24,3,2.809970273063886e-05
24,4,5.761715339645621e-05
24,5,2.9766155781955816e-05
24,6,0.00032426944408464885
24,7,8.169422919702419e-05
24,8,1.9928128313221715e-05
24,9,3.803367995873336e-09
24,10,3.8033679993622066e-09
25,1,6.920259179067634e-19
25,2,2.5819414296256872e-05
25,3,4.998341421747626e-18
25,4,0.0
25,5,4.717785189877206e-06
25,6,5.874173489208573e-19
25,7,7.230194036467805e-05
25,8,4.4019114596606327e-05
25,9,0.0
25,10,0.0
26,1,4.338866677574376e-05
26,2,0.0001363509654336495
26,3,0.0
26,4,0.0
27,1,4.2089368447432535e-06
27,2,9.281917133116139e-07
27,3,3.7963108063837813e-06
27,4,0.00024080701186822572
27,5,9.281917132828808e-07
27,6,0.00011907278415139546
27,7,6.803099631789666e-05
27,8,9.281917132803819e-07
27,9,9.281917132949508e-07
28,1,2.141950733640742e-18
28,2,2.4246598904207936e-05
28,3,1.2459470138591831e-18
28,4,1.5797540232217901e-18
28,5,2.4603209750035294e-19
28,6,7.893215802573037e-05
28,7,6.806586174301675e-05
28,8,6.988745035017102e-05
28,9,0.0
28,10,0.0
28,11,0.0
29,1,1.4441628633687588e-18
29,2,1.2594375253789226e-18
29,3,9.79103482448248e-19
29,4,2.0123772486255606e-06
29,5,3.664772381974458e-19
29,6,1.4170642032472912e-05
29,7,1.3960093263790022e-19
29,8,3.2906659746958225e-06
29,9,5.491498840451693e-06
29,10,5.4914988404494965e-06
29,11,5.491498840451558e-06
30,1,1.227131552565827e-06
30,2,1.2271315525708707e-06
30,3,2.2499656481407215e-05
30,4,4.275488461895132e-06
30,5,3.390952961740651e-05
30,6,9.040628964623801e-07
30,7,6.958263239753033e-06
30,8,1.2271315525813396e-06
30,9,1.2271315525770835e-06
30,10,1.2271315525752842e-06
31,1,5.383072610376488e-06
31,2,9.598231685997724e-06
31,3,6.621849103352548e-06
31,4,2.2308509708543624e-07
31,5,1.160940535675047e-05
31,6,2.235923624284696e-05
31,7,1.9352375192408326e-06
31,8,2.441654440839989e-07
31,9,2.4416544407537004e-07
31,10,2.4416544409147976e-07
32,1,1.5679726774239426e-05
32,2,3.191272663428312e-05
32,3,1.557700920964431e-17
32,4,1.1809351691337021e-05
32,5,3.3877830247387955e-18
32,6,2.0032286153834813e-06
32,7,8.536838899458857e-05
32,8,7.045837505331984e-05
32,9,2.4638329154425706e-06
32,10,2.463832915450093e-06
32,11,2.4638329154152114e-06
33,1,1.870528975390136e-18
33,2,7.947730766674841e-05
33,3,1.2826044035911224e-18
33,4,2.055269974370987e-05
33,5,9.552803189805714e-19
33,6,3.7856831227845045e-06
33,7,1.3979012350458335e-18
33,8,2.7966234107057853e-18
33,9,1.1134374874532705e-18
34,1,5.672705720356768e-07
34,2,5.67270572031382e-07
34,3,5.67270572029183e-07
34,4,5.524681001670498e-05
34,5,5.672705720355646e-07
34,6,5.672705720348463e-07
34,7,5.66225962575521e-06
34,8,4.921513287170747e-06
34,9,5.672705720355057e-07
34,10,5.672705720290243e-07
34,11,5.672705720237588e-07
